Ключ,Нашёл в целевом дне,Новых крео в базу,Карточек просмотрено,Срезов,Какие статусы прошли,Примечание
Royal Vegas,4,0,101,1,только active,""
Playson,4,0,9,1,только active,""
Betway,3,2,428,3,active+inactive,""
5Gringos,3,1,418,3,active+inactive,""
Gambling platform,3,0,202,1,только active,""
be a winner,3,0,400,1,только inactive,active-срез не отработал
Evoplay,3,0,64,3,active+inactive,""
strength,3,0,400,1,только inactive,active-срез не отработал
hotel,3,0,600,1,только inactive,active-срез не отработал
royal joker,3,0,427,3,active+inactive,""
Virtual slots,2,3,651,3,active+inactive,""
Craps king,2,1,400,3,active+inactive,""
Betting offers,2,1,574,3,active+inactive,""
Betano,2,0,113,2,только active,""
defecation,2,0,226,3,active+inactive,""
Diamonds Maker,2,0,263,3,active+inactive,""
Bonanza Billion,2,0,155,3,active+inactive,""
Bingo Blitz,2,0,450,3,active+inactive,""
heart,2,0,400,1,только inactive,active-срез не отработал
Pragmatic Play,2,0,48,1,только active,""
Casino cashback,2,0,162,2,active+inactive,""
Betsoft,2,0,7,3,active+inactive,""
soccer betting,2,0,22,1,только active,""
Caesars Slots,2,0,310,3,active+inactive,""
Poker challenge,2,0,53,1,только active,""
Blackjack online,2,0,279,3,active+inactive,""
Bankroll boost,2,0,208,3,active+inactive,""
car,2,0,400,1,только inactive,active-срез не отработал
texas holdem,2,0,320,1,только active,""
MegaPari,1,1,4,1,только active,""
Unibet,1,1,213,3,active+inactive,""
ears,1,0,600,1,только inactive,active-срез не отработал
Virtual casino,1,0,138,2,только active,""
Pachinko,1,0,126,3,active+inactive,""
pet,1,0,400,1,только inactive,active-срез не отработал
Jackpot quest,1,0,34,1,только active,""
Hair,1,0,400,1,только inactive,active-срез не отработал
PokerStars,1,0,38,1,только active,""
LuckyMania,1,0,17,1,только active,""
Spin saga,1,0,8,1,только active,""
SportyBet,1,0,8,1,только active,""
auto,1,0,400,1,только inactive,active-срез не отработал
Progressive slots,1,0,77,1,только active,""
PowBet,1,0,6,1,только active,""
Parimatch,1,0,1,1,только active,""
Cobra Casino,1,0,348,3,active+inactive,""
Wild West Duels,1,0,224,3,active+inactive,""
coffee,1,0,400,1,только inactive,active-срез не отработал
endurance,0,3832,8492,2,active+inactive,""
community,0,3602,14692,2,active+inactive,""
deadline,0,2987,9729,2,active+inactive,""
viral,0,2914,13769,2,active+inactive,""
arousal,0,2912,7255,2,active+inactive,""
cash,0,2890,8137,1,только active,""
Welcome bonus,0,2515,8693,2,active+inactive,""
register,0,2440,6585,1,только active,""
knee,0,2400,8181,3,active+inactive,""
desire,0,2290,7151,2,active+inactive,""
reserve,0,2241,6362,1,только active,""
tested,0,2044,20006,1,только active,""
rating,0,1942,13798,2,active+inactive,""
testosterone,0,1904,7680,2,active+inactive,""
trending,0,1865,7402,1,только active,""
fitness,0,1813,30383,2,active+inactive,""
install,0,1792,3219,1,только inactive,active-срез не отработал
payment,0,1709,4817,1,только active,""
erection,0,1534,6448,2,active+inactive,""
stamina,0,1525,5018,1,только inactive,active-срез не отработал
welcome offer,0,1522,6965,2,active+inactive,""
instant,0,1516,6692,2,active+inactive,""
swelling,0,1376,6751,1,только active,""
launch,0,1367,4100,1,только active,""
recommended,0,1336,10268,1,только inactive,active-срез не отработал
win rewards,0,1327,7659,2,active+inactive,""
organic,0,1304,18329,2,active+inactive,""
shipping,0,1279,7858,1,только active,""
pay,0,1267,8720,2,active+inactive,""
vegas,0,1234,5312,1,только active,""
nutrition,0,1193,4215,1,только inactive,active-срез не отработал
subscribe,0,1163,6427,1,только inactive,active-срез не отработал
UltraWin,0,1135,6848,2,active+inactive,""
Win real cash,0,1059,4701,1,только active,""
tournament,0,1054,7343,1,только active,""
workout,0,1036,22293,2,active+inactive,""
bestseller,0,1006,10891,2,active+inactive,""
access,0,925,5118,1,только active,""
promo,0,877,3618,1,только inactive,active-срез не отработал
claim,0,812,5773,2,active+inactive,""
expire,0,792,6107,2,active+inactive,""
orgasm,0,774,2027,1,только active,""
